id,name,state,accuracy_percent,score,seconds,error,sample_fps,kv_size,encode_chunk_size,max_new_tokens,repetition_penalty,recency_weight_start,recency_weight_decay,reindex_margin,use_history
00-corrected_baseline,corrected_baseline,completed,42.86689419795222,2.439590443686007,1812.2,,0.5,6000,16,256,1.1,0.75,0.6,1024,True
01-earlier_reindex,earlier_reindex,completed,42.593856655290104,2.4177474402730375,1724.5,,0.5,6000,16,256,1.1,0.75,0.6,4096,True
02-kv4000,kv4000,completed,41.29692832764505,2.371331058020478,1614.4,,0.5,4000,16,256,1.1,0.75,0.6,1024,True
03-chunk8,chunk8,completed,42.593856655290104,2.419112627986348,1791.0,,0.5,6000,8,256,1.1,0.75,0.6,1024,True
04-fps1,fps1,completed,41.97952218430034,2.3918088737201364,2584.0,,1.0,6000,16,256,1.1,0.75,0.6,1024,True
05-no_repetition_penalty,no_repetition_penalty,completed,43.27645051194539,2.4443686006825938,1841.5,,0.5,6000,16,256,1.0,0.75,0.6,1024,True
06-generic_guidance,generic_guidance,completed,41.02389078498293,2.3406143344709895,1656.2,,0.5,6000,16,256,1.1,0.75,0.6,1024,False
07-previous_recency,previous_recency,completed,42.86689419795222,2.419112627986348,1782.5,,0.5,6000,16,256,1.1,1.0,0.9,1024,True
08-adaptive,adaptive,completed,41.774744027303754,2.387713310580205,1828.6,,0.5,4000,16,256,1.0,0.75,0.6,1024,True
09-adaptive,adaptive,completed,42.93515358361775,2.4252559726962457,1959.4,,0.5,8000,16,256,1.0,0.75,0.6,1024,True
10-adaptive,adaptive,completed,43.34470989761092,2.454607508532423,2025.3,,0.5,12000,16,256,1.0,0.75,0.6,1024,True
11-adaptive,adaptive,completed,42.525597269624576,2.4129692832764507,3047.2,,1.0,12000,16,256,1.0,0.75,0.6,1024,True
12-adaptive,adaptive,completed,43.54948805460751,2.4737201365187715,2245.3,,0.5,12000,8,256,1.0,0.75,0.6,1024,True
13-adaptive,adaptive,completed,41.84300341296928,2.393174061433447,1992.9,,0.5,4000,8,256,1.0,0.75,0.6,1024,True
14-adaptive,adaptive,completed,42.32081911262799,2.414334470989761,2058.6,,0.5,6000,8,256,1.0,0.75,0.6,1024,True
15-adaptive,adaptive,completed,43.0716723549488,2.4279863481228667,2097.1,,0.5,8000,8,256,1.0,0.75,0.6,1024,True
16-adaptive,adaptive,completed,42.45733788395904,2.395221843003413,3397.9,,1.0,12000,8,256,1.0,0.75,0.6,1024,True
17-adaptive,adaptive,completed,44.50511945392491,2.508532423208191,2249.8,,0.5,12000,8,256,1.0,0.75,0.6,4096,True
18-adaptive,adaptive,completed,41.70648464163823,2.3870307167235496,2006.6,,0.5,4000,8,256,1.0,0.75,0.6,4096,True
19-adaptive,adaptive,completed,42.45733788395904,2.425938566552901,2075.9,,0.5,6000,8,256,1.0,0.75,0.6,4096,True
20-adaptive,adaptive,completed,43.41296928327645,2.445051194539249,2090.9,,0.5,8000,8,256,1.0,0.75,0.6,4096,True
21-adaptive,adaptive,completed,42.79863481228669,2.4218430034129694,3453.0,,1.0,12000,8,256,1.0,0.75,0.6,4096,True
22-adaptive,adaptive,failed,,,16.1,Inference worker exit codes: [1],0.5,12000,16,256,1.0,0.75,0.6,4096,True
23-adaptive,adaptive,failed,,,8.4,Inference worker exit codes: [1],0.5,12000,8,256,1.05,0.75,0.6,4096,True
